date,value,onediffvalue,seasonal
Oct 07 2013,15862.437636143759,,962.2968708824067
Oct 08 2013,15520.137882942663,-342.2997532010959,758.6688169006804
Oct 09 2013,14885.435086666756,-634.7027962759075,931.2191910652807
Oct 10 2013,14722.771957379811,-162.6631292869424,843.6569435523454
Oct 11 2013,15693.914635675794,971.1426782959807,692.9258641084418
Oct 12 2013,15236.242590198855,-457.6720454769401,930.3382548757083
Oct 13 2013,13937.417529345365,-1298.825060853489,602.4555851518924
Oct 14 2013,15344.076817859082,1406.659288513716,362.8670999850859
Oct 15 2013,15078.014770379072,-266.0620474800089,633.1636581361561
Oct 16 2013,14831.325211634368,-246.68955874470342,287.72789045736755
Oct 17 2013,14582.76326787488,-248.56194375948868,819.0132725966535
Oct 18 2013,15397.655438023125,814.8921701482433,543.6452101671268
Oct 19 2013,14894.990629064958,-502.6648089581631,127.64529916910787
Oct 20 2013,13398.227289140093,-1496.7633399248664,479.23717872394883
Oct 21 2013,15301.742570202117,1903.515281062022,259.7319555069951
Oct 22 2013,14988.176823647858,-313.5657465542554,297.86382214634233
Oct 23 2013,14919.972764592514,-68.20405905534608,628.5885342271242
Oct 24 2013,14018.744922973301,-901.2278416192148,1360.881524254267
Oct 25 2013,14941.127840422383,922.3829174490837,1085.084323437624
Oct 26 2013,14615.90064867617,-325.22719174621307,490.46986842830466
Oct 27 2013,13255.747878306169,-1360.1527703699996,427.6206248438378
Oct 28 2013,14483.675234525346,1227.9273562191756,1080.2605990620589
Oct 29 2013,14646.630253301671,162.95501877632523,125.74138937179559
Oct 30 2013,14090.31865935115,-556.3115939505224,111.82525175754226
Oct 31 2013,14154.629793645403,64.31113429425386,4.639781014933117
Nov 01 2013,16760.00178739122,2605.3719937458154,724.6924286816309
Nov 02 2013,15815.961470401373,-944.0403169898456,654.8508065779058
Nov 03 2013,14383.149992608955,-1432.8114777924163,621.6146870015393
Nov 04 2013,15153.515777892924,770.3657852839679,636.995588974167
Nov 05 2013,15092.877821548796,-60.637956344127815,286.29000998281236
Nov 06 2013,14565.386092981547,-527.4917285672492,169.01465877471927
Nov 07 2013,14323.566708312112,-241.81938466943572,186.04234889423358
Nov 08 2013,14998.36600759045,674.7992992783384,141.19157574020508
Nov 09 2013,14917.457536495036,-80.90847109541393,-10.921233684959322
Nov 10 2013,13467.647103804355,-1449.8104326906814,-439.46289855738036
Nov 11 2013,14164.067362601503,696.4202587971486,111.8049776212877
Nov 12 2013,14372.743593343024,208.67623074152112,-127.36366933482869
Nov 13 2013,14720.57009803532,347.82650469229696,-206.7130273377663
Nov 14 2013,14777.993573325677,57.423475290353956,-180.87908440224075
Nov 15 2013,15632.833121688662,854.8395483629864,-153.74539354499822
Nov 16 2013,15431.153056498662,-201.6800651899994,433.15767144795
Nov 17 2013,13786.013004030112,-1645.1400524685505,712.9674406314509
Nov 18 2013,15117.618627940226,1331.6056239101144,93.61576888121571
Nov 19 2013,14754.336557126235,-363.2820708139916,71.8668587944674
Nov 20 2013,14764.286520977244,9.949963851007851,-177.84776802439748
Nov 21 2013,14239.298931212626,-524.9875897646143,240.85908707428078
Nov 22 2013,15088.645073871448,849.3461426588202,359.6251701258769
Nov 23 2013,15160.435510987969,71.7904371165223,267.87076918630356
Nov 24 2013,13345.450717580126,-1814.9847934078446,419.859103037891
Nov 25 2013,14542.361604523428,1196.910886943302,1200.1669368207856
Nov 26 2013,14496.278678700803,-46.082925822625846,1319.0478522753658
Nov 27 2013,15111.936453266504,615.6577745657014,1239.6582047525078
Nov 28 2013,14290.612714559138,-821.3237387073659,1668.0364628558252
Nov 29 2013,19184.04841082,4893.435696260862,1027.911987875122
Nov 30 2013,16204.014390387314,-2980.0340204326862,772.0713842599146
Dec 01 2013,13690.514497408412,-2513.4998929789003,1122.9898499785415
Dec 02 2013,16389.883705690754,2699.36920828234,872.1857646618366
Dec 03 2013,15831.296872058294,-558.5868336324602,588.1442348594512
Dec 04 2013,14519.281017668545,-1312.0158543897487,229.1160882559814
Dec 05 2013,14656.732005852231,137.45098818368749,24.535717257745812
Dec 06 2013,15084.143113476486,427.41110762425336,-28.30131237242104
Dec 07 2013,15040.285159234367,-43.857954242117565,-254.7072400291042
Dec 08 2013,13767.684471355626,-1272.6006878787448,58.20598878512037
Dec 09 2013,14004.85781436118,237.1733430055574,-159.7452203173941
Dec 10 2013,14647.124027343509,642.2662129823293,4.537085426044353
Dec 11 2013,14388.825955075858,-258.2980722676548,-425.5468814906582
Dec 12 2013,14927.128988682893,538.3030336070369,-154.2932148877687
Dec 13 2013,15561.182550460093,634.0535617772002,-149.11659094887793
Dec 14 2013,15203.45223852501,-357.7303119350836,-458.2275100044996
Dec 15 2013,14807.971257301775,-395.4809812232343,247.68652166887867
Dec 16 2013,15828.585997504499,1020.6147402027253,552.8929985522984
Dec 17 2013,15024.754436160734,-803.8315613437643,663.3142182501526
Dec 18 2013,14780.647282192387,-244.1071539683489,469.3639252985716
Dec 19 2013,15259.247976009812,478.60069381742505,772.6411727119387
Dec 20 2013,15908.513373582102,649.2653975722898,1011.4596957131491
Dec 21 2013,16311.155388203451,402.6420146213514,1044.5265288510907
Dec 22 2013,14767.134161860144,-1544.0212263433075,1468.5751632011918
Dec 23 2013,16139.930922062795,1372.796760202651,1633.1296046144228
Dec 24 2013,15594.72026329,-545.2106587727958,1046.7440868185038
Dec 25 2013,14248.060859054538,-1346.6594042354627,-584.672101808522
Dec 26 2013,18486.130160045,4238.0693009904635,781.8992131187604
Dec 27 2013,17918.291396339482,-567.8387637055203,1882.0283088844178
