TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",AT&T : Consumer Wireless Service,9890.9,6352,2928.1,15.7,66.3,67.1,0,165.2,0,0,296.6,0
"WEEK OF OCT 07, 2013 (B)",AT&T : ISP,5.8,0,0,0,5.8,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,5.9,0,0,0,5.9,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T : Residential,7.2,0,0,0,0,0,0,0,0,0,7.2,0
"WEEK OF OCT 07, 2013 (B)",AT&T : Vignette,1.2,0,0,0,1.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T : Yellow Pages,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T American Cup : Sponsored Event,2.4,0,0,0,2.4,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Digital Life : Security System & Service,2161.7,976,1140.4,0,1.3,0,0,0,0,0,44,0
"WEEK OF OCT 07, 2013 (B)",AT&T Inc : Corporate Promotion,37.3,0,32.1,0,5.1,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Inc : Recruitment,7.8,0,0,0,0,0,0,0,0,0,7.8,0
"WEEK OF OCT 07, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,421.8,0,0,0,0,421.8,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Performing Arts Center : Live Event,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,6.3,0,0,0,0,0,0,0,6.3,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Town Point VA Wine Festival : Sponsored Event,7,0,0,0,0,0,0,0,7,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : Bundled Products,2091.4,0,0,0,2091.4,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : Cable & ISP,47,0,0,0,47,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : ISP,829.9,0,0,0,829.9,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,13,0,0,0,13,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,87.1,0,0,0,87.1,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse : Vignette,1.3,0,0,0,1.3,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse Cable : Cable Service,31.4,0,0,0,31.4,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,125.8,0,0,0,125.8,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,375.9,0,0,0,375.9,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",AT&T Wireless Store : Wireless Store,160.3,0,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Consumer Wireless Service,11661.9,6927.2,3541,0,96.4,196.3,0,544.3,60.1,0,296.6,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Home Phone Equipment,1243.7,0,0,0,0,0,1243.7,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : ISP,8.8,0,0,0,8.8,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,5.1,0,0,0,5.1,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Residential,7.2,0,0,0,0,0,0,0,0,0,7.2,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Vignette,0.7,0,0,0,0.7,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T : Yellow Pages,0.3,0,0,0,0.3,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T Digital Life : Security System & Service,2937.5,1651.9,1235.6,0,5.9,0,0,0,0,0,44,0
"WEEK OF OCT 14, 2013 (B)",AT&T Inc : Corporate Promotion,50.5,0,48.8,0,1.7,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T Inc : Recruitment,8.5,0,0,0,0,0,0,0,0.7,0,7.8,0
"WEEK OF OCT 14, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,7.4,0,0,0,0,0,0,0,7.4,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse : Bundled Products,1971.3,0,0,0,1971.3,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse : Cable & ISP,47.5,0,0,0,47.5,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse : ISP,751,0,0,0,751,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,13.7,0,0,0,13.7,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,71.5,0,0,0,71.5,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse : Vignette,1.5,0,0,0,1.5,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse Cable : Cable Service,12.4,0,0,0,12.4,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,79.5,0,0,0,79.5,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,360.2,0,0,0,360.2,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",AT&T Wireless Store : Wireless Store,160.3,0,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",BeTheFan/AT&T : Sponsored Event,396.6,0,0,0,0,396.6,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T : Consumer Wireless Service,16015,11365.3,3797.4,0,114,0,0,407.8,33.9,0,296.6,0
"WEEK OF OCT 21, 2013 (B)",AT&T : Home Phone Equipment,693.1,0,0,0,0,0,693.1,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T : ISP,6.3,0,0,0,6.3,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,5.5,0,0,0,5.5,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T : Residential,7.2,0,0,0,0,0,0,0,0,0,7.2,0
"WEEK OF OCT 21, 2013 (B)",AT&T : Vignette,3.7,0,0,0,3.7,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T : Yellow Pages,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T Communications : Vignette,13.2,0,0,0,13.2,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T Digital Life : Security System & Service,2229.1,947.8,1237.2,0,0,0,0,0,0,0,44,0
"WEEK OF OCT 21, 2013 (B)",AT&T Futbol Fiesta : Sponsored Event,10.1,0,0,0,2,0,0,0,8.1,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T Inc : Corporate Promotion,45.7,0,44.9,0,0.8,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T Inc : Recruitment,8.5,0,0,0,0,0,0,0,0.7,0,7.8,0
"WEEK OF OCT 21, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,229.2,0,0,0,0,201.5,0,0,27.7,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,6.3,0,0,0,0,0,0,0,6.3,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse : Bundled Products,2178,0,0,0,2178,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse : Cable & ISP,13.9,0,0,0,13.9,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse : ISP,794.8,0,0,0,794.8,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,16.8,0,0,0,16.7,0,0,0,0.1,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,72.5,0,0,0,72.5,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse : Vignette,11.4,0,0,0,11.4,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse Cable : Cable Service,1.8,0,0,0,1.8,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,94.2,0,0,0,94.2,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,371.9,0,0,0,371.9,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",AT&T Wireless Store : Wireless Store,303.2,0,0,0,0,0,0,303.2,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",2013 Holiday Showcase/AT&T & Louisville Artisans Guild : Sponsored Event,1.8,0,0,0,0,0,0,0,1.8,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T : Consumer Wireless Service,17327.6,9240,3873.5,15.7,86.3,776,0,653.3,3.7,0,321.4,2357.7
"WEEK OF OCT 28, 2013 (B)",AT&T : Home Phone Equipment,693.1,0,0,0,0,0,693.1,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T : ISP,24.8,0,0,0,24.8,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,248.7,0,0,0,27.7,0,0,0,0,0,0,220.9
"WEEK OF OCT 28, 2013 (B)",AT&T : ISP/Phone/Wireless,1247.5,0,0,0,0,0,0,0,0,0,0,1247.5
"WEEK OF OCT 28, 2013 (B)",AT&T : Phone & Wireless,5.2,0,0,0,0,0,0,0,0,0,0,5.2
"WEEK OF OCT 28, 2013 (B)",AT&T : Residential,11.4,0,0,0,0,0,0,0,0,0,11.4,0
"WEEK OF OCT 28, 2013 (B)",AT&T : Telecommunications Equipment,2.9,0,0,0,0,0,0,0,0,0,0,2.9
"WEEK OF OCT 28, 2013 (B)",AT&T : Vignette,11.6,0,0,0,11.6,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T : Yellow Pages,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T All For Less : ISP/Phone/Wireless,64.1,0,0,0,0,0,0,0,0,0,0,64.1
"WEEK OF OCT 28, 2013 (B)",AT&T Communications : Corporate Promotion,148.4,0,0,0,0,148.4,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Communications : Recruitment,0.7,0,0,0,0,0,0,0,0.7,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Communications : Vignette,10.9,0,0,0,10.9,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Digital Life : Security System & Service,2156.1,703.2,1398.4,0,0,0,0,0,0,0,54.5,0
"WEEK OF OCT 28, 2013 (B)",AT&T Futbol Fiesta : Sponsored Event,0.3,0,0,0,0.3,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Inc : Corporate Promotion,26.5,0,26.4,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Inc : Recruitment,5.7,0,0,0,0,0,0,0,0,0,5.7,0
"WEEK OF OCT 28, 2013 (B)",AT&T Intl : Consumer Wireless Service,567,0,0,0,0,567,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Long Distance : Business & Residential,4.1,0,0,0,0,0,0,0,0,0,0,4.1
"WEEK OF OCT 28, 2013 (B)",AT&T Long Distance : Intl Business & Residential,7.9,0,0,0,0,0,0,0,0,0,0,7.9
"WEEK OF OCT 28, 2013 (B)",AT&T Long Distance : Intl Residential,16.9,0,0,0,0,0,0,0,0,0,0,16.9
"WEEK OF OCT 28, 2013 (B)",AT&T Mobile : Satellite Service,5.9,0,0,0,0,0,0,0,0,0,0,5.9
"WEEK OF OCT 28, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,562.7,0,0,0,0,562.7,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Performing Arts Center : Live Event,1.8,0,0,0,0.3,0,0,0,0,0,0,1.5
"WEEK OF OCT 28, 2013 (B)",AT&T Real Yellow Pages : Yellow Pages,10.4,0,0,0,0,0,0,0,0,0,0,10.4
"WEEK OF OCT 28, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,12.8,0,0,0,0,0,0,0,6.3,0,0,6.5
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : Bundled Products,2753.2,0,0,0,2753.2,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : Cable & ISP,16.2,0,0,0,16.2,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : Cable & Wireless Service,210.7,0,0,0,0,210.7,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : ISP,827.3,0,0,0,827.3,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,15.8,0,0,0,15.8,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,63.5,0,0,0,63.5,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse : Vignette,26.2,0,0,0,26.2,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse Cable : Cable Service,7.1,0,0,0,7.1,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,57,0,0,0,57,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,374.5,0,0,0,374.5,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",AT&T Wireless Store : Wireless Store,73.8,0,0,0,0,0,0,0,0,0,0,73.8
"WEEK OF OCT 28, 2013 (B)",Feria De La Familia/AT&T : Sponsored Event,0.8,0,0,0,0.8,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T : Consumer Wireless Service,14503.1,9140.2,3868.3,0,115.6,237.4,0,786.9,0,0,354.6,0
"WEEK OF NOV 04, 2013 (B)",AT&T : Home Phone Equipment,1062.8,0,0,0,0,0,1062.8,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T : ISP,21.4,0,0,0,21.4,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,21.8,0,0,0,21.8,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T : Residential,16.9,0,0,0,0,0,0,0,0,0,16.9,0
"WEEK OF NOV 04, 2013 (B)",AT&T : Vignette,4.4,0,0,0,4.4,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T : Yellow Pages,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T Communications : Recruitment,0.7,0,0,0,0,0,0,0,0.7,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T Communications : Vignette,1.7,0,0,0,1.7,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T Digital Life : Security System & Service,3009,1992.4,948.1,0,0,0,0,0,0,0,68.5,0
"WEEK OF NOV 04, 2013 (B)",AT&T Inc : Corporate Promotion,39,0,37.6,0,1.5,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T Inc : Recruitment,2.9,0,0,0,0,0,0,0,0,0,2.9,0
"WEEK OF NOV 04, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,375.7,0,0,0,0,215.4,0,160.3,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,6.3,0,0,0,0,0,0,0,6.3,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse : Bundled Products,3285.7,0,0,0,3285.7,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse : Cable & ISP,15.7,0,0,0,15.7,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse : ISP,804,0,0,0,804,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,16.6,0,0,0,16.6,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,65,0,0,0,65,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse : Vignette,18.1,0,0,0,18.1,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse Cable : Cable Service,25.6,0,0,0,25.6,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,53,0,0,0,53,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,325.1,0,0,0,325.1,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",BeTheFan/AT&T : Sponsored Event,396.6,0,0,0,0,396.6,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",Feria De La Familia/AT&T : Sponsored Event,1.5,0,0,0,1.5,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T : Consumer Wireless Service,12143.7,6586.3,3746.3,4,239.4,339.4,0,873.7,0,0,354.6,0
"WEEK OF NOV 11, 2013 (B)",AT&T : Home Phone Equipment,1062.8,0,0,0,0,0,1062.8,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T : ISP,21.8,0,0,0,21.8,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,21.4,0,0,0,21.4,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T : Residential,16.9,0,0,0,0,0,0,0,0,0,16.9,0
"WEEK OF NOV 11, 2013 (B)",AT&T : Vignette,9.7,0,2.4,0,7.2,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T : Yellow Pages,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T Digital Life : Security System & Service,2490.9,1590.6,831.8,0,0,0,0,0,0,0,68.5,0
"WEEK OF NOV 11, 2013 (B)",AT&T Go Phone : Pre-Paid Wireless Service,31.4,0,24.4,0,7,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T Inc : Corporate Promotion,47.7,0,28,0,19.7,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T Inc : Recruitment,2.9,0,0,0,0,0,0,0,0,0,2.9,0
"WEEK OF NOV 11, 2013 (B)",AT&T Lifeline Program : Consumer Wireless Service,55.1,0,0,0,0,0,0,0,55.1,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,217.1,0,0,0,0,189.4,0,0,27.7,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,6.3,0,0,0,0,0,0,0,6.3,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse : Bundled Products,2565.5,0,0,0,2565.5,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse : Cable & ISP,17.9,0,0,0,17.9,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse : ISP,752.6,0,0,0,752.6,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,10,0,0,0,10,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,64.2,0,0,0,64.2,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse : Vignette,14.2,0,0,0,14.2,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse Cable : Cable Service,4.6,0,0,0,4.6,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,37.3,0,0,0,37.3,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,303.5,0,0,0,303.5,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",AT&T Wireless Store : Wireless Store,160.3,0,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T : Consumer Wireless Service,13973.9,8503.7,3950.1,0,48.7,349.9,0,743.3,23.6,0,354.6,0
"WEEK OF NOV 18, 2013 (B)",AT&T : Home Phone Equipment,693.1,0,0,0,0,0,693.1,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T : ISP,20.6,0,0,0,20.6,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,18.4,0,0,0,18.4,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T : Residential,16.9,0,0,0,0,0,0,0,0,0,16.9,0
"WEEK OF NOV 18, 2013 (B)",AT&T : Vignette,48.5,0,6.6,0,41.9,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T : Yellow Pages,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T Communications : Vignette,3.3,0,3.3,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T Digital Life : Security System & Service,2057.2,869,1119.7,0,0,0,0,0,0,0,68.5,0
"WEEK OF NOV 18, 2013 (B)",AT&T Go Phone : Pre-Paid Wireless Service,143.1,0,111.3,0,31.8,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T Inc : Corporate Promotion,44.3,0,44.2,0,0.1,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T Inc : Recruitment,2.9,0,0,0,0,0,0,0,0,0,2.9,0
"WEEK OF NOV 18, 2013 (B)",AT&T Latin American Talk & Text : Consumer Wireless Service,34.2,0,33.2,0,1,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,1921.6,0,0,0,0,1618.4,0,303.2,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T SportsNet Cable TV : Paid Promo,6.3,0,0,0,0,0,0,0,6.3,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse : Bundled Products,2215.9,0,0,0,2214.6,0,0,0,1.2,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse : Cable & ISP,13.7,0,0,0,13.7,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse : ISP,732.1,0,0,0,732.1,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse : ISP/Phone/TV,27.6,0,0,0,27.5,0,0,0,0.1,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,68.8,0,0,0,68.8,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse : Vignette,12.3,0,0,0,12.3,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse Cable : Cable Service,6.5,0,0,0,6.5,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV,33.6,0,0,0,33.6,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",AT&T U-Verse Triple Play : ISP/Phone/TV/Wireless,270.4,0,0,0,270.4,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T : Consumer Wireless Service,30036.9,16607.5,3872.5,0,238.5,1812.3,0,1379.2,4265.9,17,519.5,1324.6
"WEEK OF NOV 25, 2013 (B)",AT&T : Home Phone Equipment,1243.7,0,0,0,0,0,1243.7,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T : ISP,21.2,0,0,0,21.2,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T : ISP/Phone/TV/Wireless,278.9,0,0,0,19.4,0,0,0,0,0,0,259.5
"WEEK OF NOV 25, 2013 (B)",AT&T : ISP/Phone/Wireless,449.7,0,0,0,0,0,0,0,0,0,0,449.7
"WEEK OF NOV 25, 2013 (B)",AT&T : Phone & Wireless,27.7,0,0,0,0,0,0,0,0,0,0,27.7
"WEEK OF NOV 25, 2013 (B)",AT&T : Residential,15.1,0,0,0,0,0,0,0,0,0,15.1,0
"WEEK OF NOV 25, 2013 (B)",AT&T : Telecommunications Equipment,6.9,0,0,0,0,0,0,0,0,0,0,6.9
"WEEK OF NOV 25, 2013 (B)",AT&T : Vignette,30.6,0,0,0,30.6,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T : Yellow Pages,0.4,0,0,0,0.4,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T All For Less : ISP/Phone/Wireless,202.2,0,0,0,0,0,0,0,0,0,0,202.2
"WEEK OF NOV 25, 2013 (B)",AT&T Digital Life : Security System & Service,1921,789.1,1073.2,0,0,0,0,0,0,0,58.7,0
"WEEK OF NOV 25, 2013 (B)",AT&T Go Phone : Pre-Paid Wireless Service,187.9,0,68.8,0,119.1,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T Inc : Corporate Promotion,55.3,0,8.4,0,0.7,46.2,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T Inc : Recruitment,4.2,0,0,0,0,0,0,0,0.9,0,3.4,0
"WEEK OF NOV 25, 2013 (B)",AT&T Intl : Consumer Wireless Service,348.5,0,0,0,0,348.5,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T Latin American Talk & Text : Consumer Wireless Service,159.1,0,99.9,0,59.2,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T Mobile Share Plan : Consumer Wireless Service,308.5,0,0,0,0,0,0,0,308.5,0,0,0
"WEEK OF NOV 25, 2013 (B)",AT&T Mobility Llc : Legal Messages,35.5,0,0,0,0,0,0,0,0,0,0,35.5
"WEEK OF NOV 25, 2013 (B)",AT&T Next Plan : Consumer Wireless Service,3067.9,0,0,0,0,2764.7,0,303.2,0,0,0,0
